Month,Year,Transport Mode,Volume,Crime Volume,Rate
4,2010,Bus,189.1,1955.0,10.7
5,2010,Bus,181.6,1955.0,10.0
6,2010,Bus,175.9,2068.0,10.6
7,2010,Bus,183.4,2161.0,10.9
8,2010,Bus,160.4,1850.0,10.6
9,2010,Bus,175.8,1988.0,9.7
10,2010,Bus,189.8,2086.0,10.5
10,2010,Bus,179.9,2086.0,10.5
11,2010,Bus,178.8,2071.0,10.5
12,2010,Bus,140.1,1747.0,10.3
1,2011,Bus,183.0,1979.0,10.7
2,2011,Bus,177.2,1968.0,11.1
3,2011,Bus,173.9,2126.0,10.2
4,2011,Bus,183.8,1768.0,9.7
5,2011,Bus,186.1,2006.0,10.0
6,2011,Bus,181.7,1967.0,9.8
7,2011,Bus,186.7,1921.0,9.6
8,2011,Bus,161.1,1515.0,8.7
9,2011,Bus,173.9,1659.0,8.0
10,2011,Bus,193.4,1841.0,9.1
10,2011,Bus,185.2,1841.0,9.1
11,2011,Bus,189.4,1957.0,9.6
12,2011,Bus,151.2,1650.0,9.1
1,2012,Bus,181.4,1745.0,9.1
2,2012,Bus,179.5,1643.0,8.9
3,2012,Bus,191.2,1998.0,9.4
4,2012,Bus,171.8,1653.0,8.9
5,2012,Bus,189.2,1823.0,8.5
6,2012,Bus,176.5,1688.0,8.8
7,2012,Bus,189.9,1822.0,9.1
8,2012,Bus,167.1,1591.0,8.7
9,2012,Bus,177.0,1505.0,7.3
9,2012,Bus,194.2,1505.0,7.3
10,2012,Bus,184.7,1822.0,8.6
11,2012,Bus,187.6,1823.0,9.0
12,2012,Bus,151.9,1725.0,9.5
1,2013,Bus,178.1,1581.0,8.3
2,2013,Bus,180.3,1572.0,8.7
3,2013,Bus,186.5,1644.0,8.2
4,2013,Bus,171.6,1578.0,8.2
5,2013,Bus,188.8,1610.0,7.8
6,2013,Bus,183.5,1589.0,7.8
7,2013,Bus,190.2,1629.0,7.9
8,2013,Bus,166.3,1571.0,8.6
9,2013,Bus,173.7,1563.0,7.6
9,2013,Bus,194.5,1563.0,7.6
10,2013,Bus,186.3,1675.0,7.9
11,2013,Bus,193.2,1511.0,7.3
12,2013,Bus,155.1,1328.0,7.1
1,2014,Bus,186.6,1370.0,6.9
2,2014,Bus,185.6,1344.0,7.2
3,2014,Bus,206.9,1464.0,6.8
4,2014,Bus,164.1,1306.0,6.8
5,2014,Bus,192.8,1350.0,6.6
6,2014,Bus,188.1,1438.0,6.9
7,2014,Bus,191.1,1392.0,6.8
8,2014,Bus,169.2,1183.0,6.6
8,2014,Bus,176.5,1183.0,6.6
9,2014,Bus,198.8,1559.0,7.4
10,2014,Bus,190.2,1585.0,7.4
11,2014,Bus,195.6,1521.0,7.4
12,2014,Bus,156.8,1515.0,8.0
1,2015,Bus,178.2,1501.0,7.9
2,2015,Bus,176.3,1339.0,7.6
3,2015,Bus,207.5,1588.0,7.7
4,2015,Bus,203.4,1376.0,7.2
5,2015,Bus,180.5,1415.0,7.1
6,2015,Bus,189.9,1509.0,7.3
7,2015,Bus,182.5,1524.0,7.6
8,2015,Bus,162.3,1368.0,7.9
9,2015,Bus,175.0,1408.0,6.9
10,2015,Bus,190.8,1550.0,7.6
11,2015,Bus,181.2,1633.0,8.3
11,2015,Bus,186.6,1633.0,8.3
12,2015,Bus,147.1,1504.0,8.3
1,2016,Bus,179.5,1394.0,7.5
2,2016,Bus,176.0,1407.0,7.7
3,2016,Bus,159.4,1396.0,7.2
4,2016,Bus,189.3,1347.0,7.1
5,2016,Bus,181.9,1502.0,7.7
6,2016,Bus,173.6,1555.0,8.1
7,2016,Bus,177.7,1482.0,7.9
8,2016,Bus,155.3,1404.0,8.3
9,2016,Bus,166.3,1447.0,7.3
10,2016,Bus,186.9,1479.0,7.6
10,2016,Bus,176.6,1479.0,7.6
11,2016,Bus,182.7,1432.0,7.3
12,2016,Bus,145.8,1370.0,7.8
1,2017,Bus,174.4,1212.0,6.6
2,2017,Bus,172.9,1256.0,7.3
3,2017,Bus,178.4,1587.0,7.7
4,2017,Bus,172.6,1166.0,6.6
5,2017,Bus,182.3,1396.0,7.0
6,2017,Bus,175.8,1402.0,7.2
7,2017,Bus,181.5,1536.0,8.1
8,2017,Bus,155.1,1197.0,7.1
9,2017,Bus,166.0,1274.0,6.5
10,2017,Bus,186.9,1403.0,7.1
10,2017,Bus,178.1,1403.0,7.1
11,2017,Bus,183.8,1543.0,7.8
12,2017,Bus,145.1,1227.0,7.1
1,2018,Bus,175.2,1218.0,6.5
2,2018,Bus,168.7,1245.0,7.2
3,2018,Bus,176.5,1320.0,6.9
4,2018,Bus,165.9,1080.0,6.1
5,2018,Bus,179.6,1220.0,6.3
6,2018,Bus,173.9,1194.0,6.1
7,2018,Bus,177.8,1273.0,6.8
8,2018,Bus,151.5,1032.0,6.2
9,2018,Bus,162.1,1184.0,6.2
9,2018,Bus,183.7,1184.0,6.2
10,2018,Bus,175.2,1369.0,7.0
11,2018,Bus,180.5,1488.0,7.6
12,2018,Bus,144.9,1262.0,7.3
1,2019,Bus,171.3,1318.0,7.2
2,2019,Bus,171.3,1369.0,8.0
3,2019,Bus,182.7,1568.0,8.1
4,2019,Bus,156.6,1386.0,8.0
5,2019,Bus,175.2,1395.0,7.4
6,2019,Bus,171.4,1564.0,8.3
7,2019,Bus,177.0,1469.0,7.8
8,2019,Bus,149.8,1146.0,7.0
9,2019,Bus,159.8,1328.0,7.1
9,2019,Bus,179.3,1328.0,7.1
10,2019,Bus,168.9,1693.0,8.9
11,2019,Bus,176.2,1507.0,8.0
12,2019,Bus,141.0,1277.0,7.6
1,2020,Bus,169.4,1422.0,7.9
2,2020,Bus,165.2,1408.0,8.3
3,2020,Bus,126.4,1158.0,9.5
4,2020,Bus,30.2,450.0,16.0
5,2020,Bus,32.5,599.0,16.9
6,2020,Bus,47.0,782.0,15.1
7,2020,Bus,66.7,1053.0,13.8
8,2020,Bus,75.2,1033.0,12.1
9,2020,Bus,94.8,1302.0,11.8
10,2020,Bus,102.0,1261.0,11.6
11,2020,Bus,88.9,1020.0,12.1
11,2020,Bus,89.0,1020.0,12.1
12,2020,Bus,57.5,841.0,9.8
1,2021,Bus,51.6,481.0,9.2
2,2021,Bus,56.9,551.0,9.7
3,2021,Bus,72.9,870.0,11.0
4,2021,Bus,95.9,858.0,9.3
5,2021,Bus,104.3,1028.0,9.1
6,2021,Bus,107.0,1056.0,9.1
7,2021,Bus,109.1,1131.0,9.6
8,2021,Bus,98.8,952.0,8.7
9,2021,Bus,115.5,1297.0,9.6
10,2021,Bus,130.2,1430.0,10.4
10,2021,Bus,125.4,1430.0,10.4
11,2021,Bus,131.3,1446.0,10.2
12,2021,Bus,95.1,1231.0,10.2
1,2022,Bus,123.5,1200.0,9.5
2,2022,Bus,127.8,1283.0,10.2
3,2022,Bus,126.7,1505.0,9.9
4,2022,Bus,135.0,1298.0,9.6
5,2022,Bus,140.5,1513.0,9.9
6,2022,Bus,138.0,1554.0,10.3
7,2022,Bus,137.8,1305.0,8.9
8,2022,Bus,122.5,1349.0,10.1
9,2022,Bus,132.9,1467.0,9.6
10,2022,Bus,147.0,1570.0,10.0
10,2022,Bus,143.1,1570.0,10.0
11,2022,Bus,146.0,1669.0,10.6
12,2022,Bus,116.9,1396.0,10.1
1,2023,Bus,141.3,1523.0,10.2
2,2023,Bus,141.6,1436.0,10.2
3,2023,Bus,142.2,1729.0,13.2
4,2023,Bus,141.4,1672.0,11.5
5,2023,Bus,146.6,1584.0,9.9
6,2023,Bus,146.4,1618.0,10.0
7,2023,Bus,147.5,1373.0,8.8
8,2023,Bus,129.9,1178.0,8.2
9,2023,Bus,139.9,1551.0,9.5
10,2023,Bus,155.8,1739.0,10.7
10,2023,Bus,146.3,1739.0,10.7
11,2023,Bus,150.9,1764.0,10.9
12,2023,Bus,123.7,1702.0,11.5
1,2024,Bus,144.0,1565.0,10.3
2,2024,Bus,145.3,1504.0,10.0
3,2024,Bus,152.0,1520.0,9.3
4,2010,London Tramlink,2.3,37.0,16.7
5,2010,London Tramlink,2.2,37.0,16.0
6,2010,London Tramlink,2.1,34.0,14.5
7,2010,London Tramlink,2.1,32.0,13.6
8,2010,London Tramlink,2.0,30.0,14.3
9,2010,London Tramlink,2.0,24.0,10.0
10,2010,London Tramlink,2.3,28.0,11.5
10,2010,London Tramlink,2.2,28.0,11.5
11,2010,London Tramlink,2.3,49.0,19.9
12,2010,London Tramlink,1.8,14.0,6.2
1,2011,London Tramlink,2.1,29.0,13.0
2,2011,London Tramlink,2.2,23.0,10.5
3,2011,London Tramlink,2.1,30.0,11.7
4,2011,London Tramlink,2.1,46.0,21.8
5,2011,London Tramlink,2.2,37.0,15.3
6,2011,London Tramlink,2.2,34.0,13.9
7,2011,London Tramlink,2.3,38.0,15.6
8,2011,London Tramlink,1.9,35.0,16.6
9,2011,London Tramlink,2.1,26.0,10.4
10,2011,London Tramlink,2.4,22.0,8.8
10,2011,London Tramlink,2.3,22.0,8.8
11,2011,London Tramlink,2.4,27.0,10.5
12,2011,London Tramlink,1.9,33.0,14.0
1,2012,London Tramlink,2.2,18.0,7.6
2,2012,London Tramlink,2.0,18.0,8.5
3,2012,London Tramlink,2.3,35.0,13.5
4,2012,London Tramlink,2.1,19.0,8.3
5,2012,London Tramlink,2.3,46.0,17.5
6,2012,London Tramlink,2.2,35.0,14.7
7,2012,London Tramlink,2.5,36.0,13.4
8,2012,London Tramlink,2.3,31.0,12.3
9,2012,London Tramlink,2.4,21.0,8.0
9,2012,London Tramlink,2.5,21.0,8.0
10,2012,London Tramlink,2.2,32.0,12.7
11,2012,London Tramlink,2.5,31.0,11.9
12,2012,London Tramlink,2.0,31.0,12.9
1,2013,London Tramlink,2.3,29.0,11.8
2,2013,London Tramlink,2.4,21.0,9.1
3,2013,London Tramlink,2.4,23.0,8.9
4,2013,London Tramlink,2.3,41.0,16.1
5,2013,London Tramlink,2.5,36.0,13.6
6,2013,London Tramlink,2.4,30.0,11.3
7,2013,London Tramlink,2.5,34.0,12.6
8,2013,London Tramlink,2.2,28.0,12.8
9,2013,London Tramlink,2.0,22.0,8.3
9,2013,London Tramlink,2.6,22.0,8.3
10,2013,London Tramlink,2.4,33.0,11.8
11,2013,London Tramlink,2.6,19.0,6.8
12,2013,London Tramlink,2.0,20.0,8.4
1,2014,London Tramlink,2.4,21.0,8.0
2,2014,London Tramlink,2.4,22.0,9.1
3,2014,London Tramlink,2.8,12.0,4.2
4,2014,London Tramlink,2.2,14.0,5.6
5,2014,London Tramlink,2.4,13.0,5.4
6,2014,London Tramlink,2.3,14.0,5.3
7,2014,London Tramlink,2.5,19.0,7.2
8,2014,London Tramlink,2.0,7.0,3.3
8,2014,London Tramlink,2.3,7.0,3.3
9,2014,London Tramlink,2.6,8.0,2.9
10,2014,London Tramlink,2.4,20.0,7.2
11,2014,London Tramlink,2.6,22.0,8.2
12,2014,London Tramlink,2.1,17.0,6.7
1,2015,London Tramlink,2.4,23.0,8.8
2,2015,London Tramlink,2.4,22.0,9.0
3,2015,London Tramlink,2.5,29.0,10.8
4,2015,London Tramlink,2.1,20.0,9.3
5,2015,London Tramlink,2.0,29.0,12.2
6,2015,London Tramlink,2.1,25.0,9.9
7,2015,London Tramlink,2.2,15.0,6.6
8,2015,London Tramlink,1.8,14.0,6.8
9,2015,London Tramlink,2.0,17.0,7.3
10,2015,London Tramlink,2.2,19.0,8.2
11,2015,London Tramlink,2.2,25.0,10.4
11,2015,London Tramlink,2.3,25.0,10.4
12,2015,London Tramlink,1.8,20.0,8.8
1,2016,London Tramlink,2.1,33.0,14.5
2,2016,London Tramlink,2.2,16.0,7.1
3,2016,London Tramlink,1.9,32.0,13.6
4,2016,London Tramlink,2.4,21.0,8.8
5,2016,London Tramlink,2.4,27.0,10.6
6,2016,London Tramlink,2.3,25.0,9.7
7,2016,London Tramlink,2.4,14.0,5.4
8,2016,London Tramlink,1.8,12.0,5.9
9,2016,London Tramlink,2.2,9.0,4.6
10,2016,London Tramlink,2.5,22.0,8.2
10,2016,London Tramlink,2.2,22.0,8.2
11,2016,London Tramlink,2.1,17.0,7.9
12,2016,London Tramlink,2.1,22.0,9.0
1,2017,London Tramlink,2.4,19.0,7.4
2,2017,London Tramlink,2.2,29.0,13.2
3,2017,London Tramlink,2.4,28.0,10.2
4,2017,London Tramlink,2.1,19.0,8.7
5,2017,London Tramlink,2.3,23.0,9.3
6,2017,London Tramlink,2.2,24.0,9.7
7,2017,London Tramlink,2.4,27.0,10.8
8,2017,London Tramlink,2.1,26.0,11.5
9,2017,London Tramlink,2.2,24.0,9.1
10,2017,London Tramlink,2.5,35.0,13.3
10,2017,London Tramlink,2.3,35.0,13.3
11,2017,London Tramlink,2.4,17.0,6.5
12,2017,London Tramlink,1.9,19.0,8.3
1,2018,London Tramlink,2.2,23.0,9.7
2,2018,London Tramlink,2.2,14.0,6.3
3,2018,London Tramlink,2.2,18.0,7.6
4,2018,London Tramlink,1.9,22.0,10.7
5,2018,London Tramlink,2.3,26.0,10.2
6,2018,London Tramlink,2.3,15.0,5.9
7,2018,London Tramlink,2.4,25.0,10.0
8,2018,London Tramlink,2.1,15.0,6.3
9,2018,London Tramlink,2.2,14.0,5.6
9,2018,London Tramlink,2.4,14.0,5.6
10,2018,London Tramlink,2.3,21.0,8.0
11,2018,London Tramlink,2.4,21.0,8.3
12,2018,London Tramlink,1.9,31.0,13.5
1,2019,London Tramlink,2.2,19.0,8.3
2,2019,London Tramlink,2.2,12.0,5.5
3,2019,London Tramlink,2.2,16.0,6.8
4,2019,London Tramlink,2.0,19.0,8.7
5,2019,London Tramlink,2.2,19.0,8.0
6,2019,London Tramlink,2.2,31.0,12.8
7,2019,London Tramlink,2.3,24.0,9.7
8,2019,London Tramlink,2.0,12.0,6.4
9,2019,London Tramlink,1.6,22.0,9.6
9,2019,London Tramlink,2.3,22.0,9.6
10,2019,London Tramlink,2.2,20.0,8.0
11,2019,London Tramlink,2.3,36.0,14.6
12,2019,London Tramlink,1.9,20.0,8.9
1,2020,London Tramlink,2.3,19.0,7.7
2,2020,London Tramlink,2.2,27.0,11.5
3,2020,London Tramlink,1.6,16.0,9.9
4,2020,London Tramlink,0.4,5.0,10.4
5,2020,London Tramlink,0.5,11.0,21.4
6,2020,London Tramlink,0.7,13.0,16.8
7,2020,London Tramlink,1.0,12.0,10.4
8,2020,London Tramlink,1.0,21.0,19.4
9,2020,London Tramlink,1.2,24.0,16.0
10,2020,London Tramlink,1.4,14.0,9.1
11,2020,London Tramlink,1.0,16.0,10.9
11,2020,London Tramlink,1.1,16.0,10.9
12,2020,London Tramlink,0.7,12.0,9.6
1,2021,London Tramlink,0.7,10.0,11.5
2,2021,London Tramlink,0.8,6.0,8.2
3,2021,London Tramlink,1.0,13.0,12.2
4,2021,London Tramlink,1.3,17.0,14.2
5,2021,London Tramlink,1.5,15.0,9.3
6,2021,London Tramlink,1.5,14.0,8.6
7,2021,London Tramlink,1.5,20.0,12.2
8,2021,London Tramlink,1.3,18.0,15.2
9,2021,London Tramlink,1.2,16.0,9.4
10,2021,London Tramlink,1.7,14.0,7.7
10,2021,London Tramlink,1.7,14.0,7.7
11,2021,London Tramlink,1.6,22.0,12.5
12,2021,London Tramlink,1.2,16.0,10.8
1,2022,London Tramlink,1.6,22.0,13.0
2,2022,London Tramlink,1.4,11.0,7.9
3,2022,London Tramlink,1.5,18.0,8.8
4,2022,London Tramlink,1.6,10.0,6.3
5,2022,London Tramlink,1.8,27.0,13.8
6,2022,London Tramlink,1.7,20.0,11.1
7,2022,London Tramlink,1.5,22.0,13.1
8,2022,London Tramlink,1.5,21.0,13.8
9,2022,London Tramlink,1.5,13.0,7.1
10,2022,London Tramlink,1.6,14.0,7.9
10,2022,London Tramlink,1.7,14.0,7.9
11,2022,London Tramlink,1.6,37.0,20.6
12,2022,London Tramlink,1.3,33.0,21.6
1,2023,London Tramlink,1.8,41.0,22.6
2,2023,London Tramlink,1.6,24.0,14.3
3,2023,London Tramlink,1.7,28.0,18.5
4,2023,London Tramlink,1.4,28.0,18.9
5,2023,London Tramlink,1.6,25.0,13.8
6,2023,London Tramlink,1.7,18.0,9.7
7,2023,London Tramlink,1.6,28.0,16.2
8,2023,London Tramlink,1.4,22.0,13.8
9,2023,London Tramlink,1.7,33.0,18.6
10,2023,London Tramlink,1.6,28.0,18.4
10,2023,London Tramlink,1.3,28.0,18.4
11,2023,London Tramlink,1.7,21.0,11.7
12,2023,London Tramlink,1.4,16.0,9.6
1,2024,London Tramlink,1.7,25.0,14.1
2,2024,London Tramlink,1.2,15.0,12.0
3,2024,London Tramlink,1.6,10.0,5.9
4,2010,London Overground,0.0,39.0,0.0
5,2010,London Overground,0.0,43.0,0.0
6,2010,London Overground,0.0,45.0,0.0
7,2010,London Overground,0.0,70.0,0.0
8,2010,London Overground,0.0,55.0,0.0
9,2010,London Overground,0.0,56.0,0.0
10,2010,London Overground,0.0,80.0,0.0
10,2010,London Overground,5.6,80.0,0.0
11,2010,London Overground,5.4,72.0,0.0
12,2010,London Overground,3.5,33.0,0.0
1,2011,London Overground,5.2,53.0,0.0
2,2011,London Overground,5.2,54.0,0.0
3,2011,London Overground,5.8,58.0,0.0
4,2011,London Overground,6.3,40.0,6.6
5,2011,London Overground,6.4,51.0,7.4
6,2011,London Overground,6.9,59.0,7.7
7,2011,London Overground,7.6,74.0,9.0
8,2011,London Overground,7.7,78.0,9.5
9,2011,London Overground,7.7,109.0,12.7
10,2011,London Overground,8.7,64.0,6.7
10,2011,London Overground,8.8,64.0,6.7
11,2011,London Overground,9.0,72.0,7.6
12,2011,London Overground,6.9,58.0,7.1
1,2012,London Overground,8.7,55.0,5.9
2,2012,London Overground,8.8,71.0,7.8
3,2012,London Overground,9.1,82.0,8.1
4,2012,London Overground,8.5,64.0,7.1
5,2012,London Overground,8.9,72.0,7.2
6,2012,London Overground,8.6,75.0,8.2
7,2012,London Overground,8.9,80.0,7.6
8,2012,London Overground,10.5,97.0,8.7
9,2012,London Overground,9.8,99.0,9.4
9,2012,London Overground,9.7,99.0,9.4
10,2012,London Overground,9.8,93.0,8.7
11,2012,London Overground,10.0,100.0,9.0
12,2012,London Overground,8.2,72.0,7.5
1,2013,London Overground,10.2,76.0,6.9
2,2013,London Overground,10.7,68.0,6.4
3,2013,London Overground,10.8,65.0,5.6
4,2013,London Overground,10.3,75.0,6.6
5,2013,London Overground,10.3,91.0,7.9
6,2013,London Overground,10.9,84.0,7.1
7,2013,London Overground,11.3,81.0,6.5
8,2013,London Overground,10.6,48.0,4.3
9,2013,London Overground,10.4,68.0,5.8
9,2013,London Overground,11.2,68.0,5.8
10,2013,London Overground,9.6,80.0,7.1
11,2013,London Overground,10.6,70.0,6.2
12,2013,London Overground,8.1,64.0,6.5
1,2014,London Overground,10.3,81.0,7.4
2,2014,London Overground,10.8,75.0,6.9
3,2014,London Overground,11.3,82.0,7.1
4,2014,London Overground,9.7,83.0,7.3
5,2014,London Overground,10.5,91.0,8.4
6,2014,London Overground,10.5,75.0,6.7
7,2014,London Overground,10.8,80.0,6.5
8,2014,London Overground,10.6,70.0,5.9
8,2014,London Overground,10.8,70.0,5.9
9,2014,London Overground,10.8,82.0,7.1
10,2014,London Overground,11.0,54.0,4.4
