Year ,Month,Transport Mode,Volume ,Rate,,,,
2009,April,Bus,"2,066",11.3,,,,
2009,May,Bus,"2,148",11.1,,,,
2009,June,Bus,"2,141",11.1,,,,
2009,July,Bus,"2,149",11.2,,,,
2009,August,Bus,"1,745",9.7,,,,
2009,September,Bus,"1,871",9.6,,,,
2009,October,Bus,"2,211",11,,,,
2009,November,Bus,"2,234",11.6,,,,
2009,December,Bus,"1,925",10.9,,,,
2010,January,Bus,"1,921",10.6,,,,
2010,February,Bus,"2,079",12,,,,
2010,March,Bus,"2,402",12,,,,
2009,April,London Underground / Docklands Light Railway,"1,206",13.3,,,,
2009,May,London Underground / Docklands Light Railway,"1,359",14.6,,,,
2009,June,London Underground / Docklands Light Railway,"1,179",13.1,,,,
2009,July,London Underground / Docklands Light Railway,"1,216",12.5,,,,
2009,August,London Underground / Docklands Light Railway,"1,151",13.2,,,,
2009,September,London Underground / Docklands Light Railway,"1,251",13.5,,,,
2009,October,London Underground / Docklands Light Railway,"1,337",13.2,,,,
2009,November,London Underground / Docklands Light Railway,"1,282",13.4,,,,
2009,December,London Underground / Docklands Light Railway,"1,130",12,,,,
2010,January,London Underground / Docklands Light Railway,"1,198",13.6,,,,
2010,February,London Underground / Docklands Light Railway,"1,187",13.1,,,,
2010,March,London Underground / Docklands Light Railway,"1,329",12.5,,,,
2009,April,London Overground,31,,,,,
2009,May,London Overground,20,,,,,
2009,June,London Overground,35,,,,,
2009,July,London Overground,32,,,,,
2009,August,London Overground,37,,,,,
2009,September,London Overground,39,,,,,
2009,October,London Overground,54,,,,,
2009,November,London Overground,52,,,,,
2009,December,London Overground,35,,,,,
2010,January,London Overground,42,,,,,
2010,February,London Overground,29,,,,,
2010,March,London Overground,44,,,,,
2009,April,London Tramlink,38,17.4,,,,
2009,May,London Tramlink,41,18.1,,,,
2009,June,London Tramlink,41,17.4,,,,
2009,July,London Tramlink,35,16.3,,,,
2009,August,London Tramlink,26,17.4,,,,
2009,September,London Tramlink,32,15.2,,,,
2009,October,London Tramlink,29,12.5,,,,
2009,November,London Tramlink,40,18,,,,
2009,December,London Tramlink,45,21.6,,,,
2010,January,London Tramlink,22,10.4,,,,
2010,February,London Tramlink,28,14,,,,
2010,March,London Tramlink,26,10.6,,,,
2010,April,Bus,"1,955",10.7,,,,
2010,May,Bus,"1,955",10,,,,
2010,June,Bus,"2,068",10.6,,,,
2010,July,Bus,"2,161",10.9,,,,
2010,August,Bus,"1,850",10.6,,,,
2010,September,Bus,"1,988",9.7,,,,
2010,October,Bus,"2,086",10.5,,,,
2010,November,Bus,"2,071",10.5,,,,
2010,December,Bus,"1,747",10.3,,,,
2011,January,Bus,"1,979",10.7,,,,
2011,February,Bus,"1,968",11.1,,,,
2011,March,Bus,"2,126",10.2,,,,
2010,April,London Underground / Docklands Light Railway,"1,134",12,,,,
2010,May,London Underground / Docklands Light Railway,"1,117",11.9,,,,
2010,June,London Underground / Docklands Light Railway,"1,058",10.7,,,,
2010,July,London Underground / Docklands Light Railway,"1,181",11.5,,,,
2010,August,London Underground / Docklands Light Railway,"1,078",11.3,,,,
2010,September,London Underground / Docklands Light Railway,"1,066",10.8,,,,
2010,October,London Underground / Docklands Light Railway,"1,304",12.4,,,,
2010,November,London Underground / Docklands Light Railway,"1,273",12.3,,,,
2010,December,London Underground / Docklands Light Railway,983,10.3,,,,
2011,January,London Underground / Docklands Light Railway,"1,104",11.8,,,,
2011,February,London Underground / Docklands Light Railway,"1,125",12.1,,,,
2011,March,London Underground / Docklands Light Railway,"1,260",11.7,,,,
2010,April,London Overground,39,,,,,
2010,May,London Overground,43,,,,,
2010,June,London Overground,45,,,,,
2010,July,London Overground,70,,,,,
2010,August,London Overground,55,,,,,
2010,September,London Overground,56,,,,,
2010,October,London Overground,80,,,,,
2010,November,London Overground,72,,,,,
2010,December,London Overground,33,,,,,
2011,January,London Overground,53,,,,,
2011,February,London Overground,54,,,,,
2011,March,London Overground,58,,,,,
2010,April,London Tramlink,37,16.7,,,,
2010,May,London Tramlink,37,16,,,,
2010,June,London Tramlink,34,14.5,,,,
2010,July,London Tramlink,32,13.6,,,,
2010,August,London Tramlink,30,14.3,,,,
2010,September,London Tramlink,24,10,,,,
2010,October,London Tramlink,28,11.5,,,,
2010,November,London Tramlink,49,19.9,,,,
2010,December,London Tramlink,14,6.2,,,,
2011,January,London Tramlink,29,13,,,,
2011,February,London Tramlink,23,10.5,,,,
2011,March,London Tramlink,30,11.7,,,,
2011,April,Bus,"1,768",9.7,,,,
2011,May,Bus,"2,006",10,,,,
2011,June,Bus,"1,967",9.8,,,,
2011,July,Bus,"1,921",9.6,,,,
